,Target_1d
Target_1d,1.0
Price_Change_1d_Pct,0.7081171208262171
Price_Change_5d_Pct,0.3160715649117924
Target_5d,0.27975501936829755
Gap_Up,0.05135412940390027
Gap_Down,0.05117952305772851
others_dr,0.04667712602095703
others_dlr,0.04656385884645257
Price_Change,0.04644913702194982
trend_dpo,0.036924840507785946
trend_kst_sig,0.029551510622881184
trend_kst,0.02595253326327488
trend_psar_up,0.023138007557025154
Rolling_Min_20,0.023028060936984365
volatility_dcl,0.02301749087537643
trend_ichimoku_base,0.022778167245905374
volatility_kcl,0.022705681559565018
trend_ichimoku_a,0.022626062384614468
volatility_dcm,0.022611409011399627
trend_sma_slow,0.022595795437474246
